date,news,Predicted Sentiment,Sentiment Probability,aspect_labelling
2018-02-01,"In an interview with CNBC-TV18, Shobana Kamineni, President of CII and Executive Vice Chairperson at Apollo Hospitals Enterprise Limited, Ajit Gulabchand, Chairman & MD at HCC, Vinayak Chatterjee, Chairman at Feedback Infra Private Limited, Shyamal Mukherjee, Chairman at PwC, and Rajiv Memani of Ernst & Young LLP shared their expectations from Union Budget 2018.",neutral,0.5776107,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9431852102279663)]]"
2018-02-15,"Apollo Hospitals Enterprise today reported a 7.4 per cent decline in standalone net profit at ₹ 67.44 crore for the third quarter ended December 31, 2017 on account of higher expenses. The company had",negative,0.97346425,"[[('expenses', 'financial_performance', 'neutral', 0.7736260890960693), ('quarter', 'financial_performance', 'neutral', 0.8830670714378357), ('net profit', 'economic_indicators', 'negative', 0.9751914143562317), ('Apollo Hospitals', 'companies', 'negative', 0.587390124797821)]]"
2018-06-06,Hold  Apollo Hospitals Enterprise Ltd.  at a price target of Rs  990.0    .,neutral,0.9390858,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9492293000221252)]]"
2018-07-06,"Apollo Hospitals Enterprise Ltd has acquired a 50 per cent stake in Medics International Lifesciences Ltd, a 330-bed super-speciality hospital in Lucknow, for ₹91 crore.The acquisition is through a p",neutral,0.9033768,"[[('stake', 'stock_market', 'neutral', 0.9156226515769958), ('Apollo Hospitals', 'companies', 'neutral', 0.8999166488647461)]]"
2018-09-18,"Apollo Hospitals Chennai, a flagship of Apollo Hospitals Enterprise Ltd and the country’s first corporate hospital, marked its 35th anniversary here on Tuesday.Launched in 1983, it now has 904 beds in",neutral,0.8284419,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9231580495834351)]]"
2018-09-28,Healthcare major Apollo Hospitals Enterprise on Friday said it has received shareholders’ nod to raise up to ₹ 500 crore through issuance of non-convertible debentures (NCD) on a private placement bas,positive,0.7905081,"[[('shareholders', 'investor_sentiment', 'positive', 0.6699109077453613), ('shareholders', 'investor_sentiment', 'positive', 0.6699109077453613), ('Apollo Hospitals', 'companies', 'neutral', 0.6889686584472656)]]"
2018-11-14,"Apollo Pharmacy Ltd (APL) will be a wholly-owned subsidiary of Apollo Medicals Pvt Ltd (AMPL) in which Apollo Hospitals Enterprise Ltd (AHEL) will have a 25.5 per cent stake. | Apollo Hospitals Enterprise  reported a standalone net profit of  Rs 78.98 crore for the quarter ended September 30, 2018 against  Rs 70.90 crore  a year ago",positive,0.74156934,"[[('quarter', 'financial_performance', 'neutral', 0.5178433060646057), ('net profit', 'economic_indicators', 'neutral', 0.9235354065895081), ('Apollo Hospitals', 'companies', 'neutral', 0.8830621242523193)], [('stake', 'stock_market', 'neutral', 0.9334498047828674), ('Apollo Hospitals', 'companies', 'neutral', 0.9368957877159119)]]"
2018-11-15,"Apollo Pharmacy (APL) will be a wholly owned subsidiary of Apollo Medicals. The listed parent company, Apollo Hospitals Enterprise will hold 25.5% stake in Apollo Medicals (AMPL) . ",neutral,0.9551754,"[[('stake', 'stock_market', 'neutral', 0.9452587366104126), ('Apollo Hospitals', 'companies', 'neutral', 0.9477413296699524)]]"
2018-11-27,"The Apollo Adlux Hospital, scheduled to begin operations in four to six months.",neutral,0.86622196,[[]]
2018-12-05,Apollo Hospitals Enterprise Ltd had said last month that the move was part of a restructuring exercise,neutral,0.92366254,"[[('restructuring', 'corporate_news', 'neutral', 0.8592938780784607), ('Apollo Hospitals', 'companies', 'neutral', 0.9153586030006409)]]"
2019-02-09,Apollo Hospitals Enterprise Ltd. has posted a 28.89% increase in its standalone net profit for the third quarter ended December 2018 to ₹86.93 crore against ₹67.44crore in the year-earlier period. Rev,positive,0.9448583,"[[('quarter', 'financial_performance', 'neutral', 0.48808640241622925), ('net profit', 'economic_indicators', 'positive', 0.9470208883285522), ('Apollo Hospitals', 'companies', 'positive', 0.5159836411476135)]]"
2019-02-23,"Apollo Hospitals Enterprise Ltd said on Saturday it is opening a new 330-bed super speciality hospital in Lucknow, to be inaugurated Sunday. “The new hospital will be inaugurated by President Ram Nath",neutral,0.8371694,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9486929774284363)]]"
2019-04-11,"Shobana Kamineni, Executive Vice Chairperson of Apollo Hospitals Enterprise Ltd  and former CII President was in for a rude shock as she went to cast her vote in Hyderabad. She found her name deleted from the voters' list. ",negative,0.88236046,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9386576414108276)]]"
2019-06-19,Mortgage major HDFC Wednesday announced acquisition of majority stake in Apollo Munich Health Insurance from the Apollo Hospitals Group,neutral,0.87516886,"[[('stake', 'stock_market', 'neutral', 0.8823984265327454), ('Apollo Hospitals', 'companies', 'neutral', 0.9363613724708557)]]"
2019-06-20,HDFC will pay about Rs73.2 per share to Apollo Hospitals for the acquisition. | Deutsche Bank has maintained a 'buy' rating on ICICI Prudential Life Insurance Company.,neutral,0.8537397,"[[('Apollo Hospitals', 'companies', 'neutral', 0.938692033290863)], []]"
2019-06-21,"Proceeds from the transactions will be used to reduce promoter debt.On Wednesday, HDFC, India’s largest mortgage financier, said it would buy Apollo Hospitals’ 50.8% stake in Apollo Munich Health Insurance for  ₹1,336 crore",neutral,0.876897,"[[('stake', 'stock_market', 'neutral', 0.936601459980011), ('Apollo Hospitals', 'companies', 'neutral', 0.9085336923599243)]]"
2019-06-24,"Apollo promoters would use the money from the stake sale to reduce their pledged shares to around 35-40 per cent, said a senior official from the company.",negative,0.87226325,"[[('stake', 'stock_market', 'neutral', 0.570747435092926), ('shares', 'stock_market', 'negative', 0.5636377930641174)]]"
2019-06-29,"
Go for a very safe bet like SBI and Apollo Hospitals which has come off lows after a big correction.",negative,0.4277854,"[[('Apollo Hospitals', 'companies', 'negative', 0.5009346604347229)]]"
2019-07-15,"Consumer health care and hygiene company Reckitt Benckiser (RB) on Monday announced its partnership with the Apollo Hospitals Group for the launch of ‘Arogya Rakshak’, a social healthcare programme fo",positive,0.7647973,"[[('Apollo Hospitals', 'companies', 'positive', 0.7591685056686401)]]"
2019-07-16,"Top trading ideas by Jay Anand Thakkar ,CMT -Assistant Vice President - Equity Research, Anand Rathi Shares and Stock Brokers",neutral,0.9388411,"[[('equity', 'stock_market', 'neutral', 0.9485317468643188), ('shares', 'stock_market', 'neutral', 0.9407458305358887)]]"
2019-07-17,"Reddy family wants to pare the pledged shareholding in Apollo. | Earlier, almost 74 per cent of the promoter shares were pledged to unwind a deal with private equity player KKR, raising concerns in the market.",negative,0.9196833,"[[('equity', 'stock_market', 'negative', 0.9423841238021851), ('shares', 'stock_market', 'neutral', 0.8641013503074646)], [('shareholding', 'stock_market', 'neutral', 0.9288291335105896)]]"
2019-07-19,"The primary aim is to bring down our pledge over next one year, Suneeta Reddy, managing director of Apollo Hospitals Group said",neutral,0.8186825,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8340620994567871)]]"
2019-07-22,"HealthNet Global Ltd (HNG), an arm of Apollo Hospitals, has entered into a Memorandum of Understanding (MoU) with the American Association of Physicians of Indian Origin (AAPI) for virtual second opti",positive,0.93247026,"[[('Apollo Hospitals', 'companies', 'positive', 0.9237991571426392)]]"
2019-08-01,"Drug firm Strides Pharma Science said Sangita Reddy will step down as the independent director of the company.Reddy is the joint managing director of the healthcare major Apollo Hospitals Group. “In v | Microsoft and Apollo Hospitals have set up a National Clinical Coordination Committee (NCCC).'NCCC will help us immensely in our fight against the rising tsunami of Non-Communicable Diseases,' said Sangita Reddy, Joint Managing Director, Apollo Hospitals Group | They look to use AI to develope clinical algorithms and treatment guidelines",neutral,0.896136,"[[('Apollo Hospitals', 'companies', 'neutral', 0.941803514957428)], [('Apollo Hospitals', 'companies', 'neutral', 0.8782539367675781)], []]"
2019-09-06,"Over 2,500 representatives from the medical and technology sectors, public policy makers and government officials are expected to attend the twin conferences to make healthcare safer and better.",neutral,0.8409047,[[]]
2019-09-12,The promoter family of Apollo Hospitals on Thursday said it has divested 3.6 percent stake in Apollo Hospitals Enterprise Limited (AHEL) through a bulk deal in order to bring down the overall debt | Here's a list of counters that may hog the limelight today - | A combination of foreign and domestic institutional investors are expected to participate,neutral,0.867393,"[[('stake', 'stock_market', 'neutral', 0.8323966860771179), ('Apollo Hospitals', 'companies', 'neutral', 0.8669961094856262)], [], []]"
2019-09-16,"Front end of the business to go to a separate firm, which will focus on achieving Rs 10,000 cr revenue and 30% ROCE within 5 years",neutral,0.86236656,[[]]
2019-09-17,"Healthcare major Apollo Hospitals Group today announced the launch of &#39;Apollo ProHealth&#39; , a proactive health management program powered by artificial intelligencepersonalised Health Risk Asse",positive,0.5042536,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8698961734771729)]]"
2019-09-19,"Apollo Hospitals Group has tied up with US-based Zipline to launch Drone healthcare delivery solutions. The Hospital will explore and leverage drone technology to deliver emergency aids and organs, ac",positive,0.77109456,"[[('Apollo Hospitals', 'companies', 'neutral', 0.49782314896583557)]]"
2019-09-21,He was under treatment in Apollo hospitals in Chennai when he died,neutral,0.6106445,"[[('Apollo Hospitals', 'companies', 'neutral', 0.6106444001197815)]]"
2019-09-23,"In November, Apollo Hospitals had announced the restructuring and sale of its pharmacy operations.The restructuring would help Apollo Hospitals reduce its net debt | The Competition Commission of India (CCI) has approved the restructuring of pharmacy business of Apollo Hospitals Enterprise Ltd (AHEL) and its subsequent acquisition by Enam Securities Private Ltd, J",positive,0.83703065,"[[('restructuring', 'corporate_news', 'neutral', 0.923927366733551), ('Apollo Hospitals', 'companies', 'neutral', 0.9372612237930298), ('restructuring', 'corporate_news', 'positive', 0.929444432258606), ('Apollo Hospitals', 'companies', 'positive', 0.929444432258606)], [('restructuring', 'corporate_news', 'neutral', 0.578849732875824), ('Apollo Hospitals', 'companies', 'positive', 0.494559645652771)]]"
2019-09-24,"The CCI approved the sale of Apollo Hospitals Enterprise Ltd's pharmacy unit to Enam Securities Pvt Ltd, Jhelum Investment Fund, and Hemendra Kothari.",neutral,0.66517466,"[[('Apollo Hospitals', 'companies', 'neutral', 0.7117158770561218)]]"
2019-09-25,"The company also hinted at going slow on investments from here, saying extracting benefits from past bets will be the focus now through margin expansion.",neutral,0.7440354,"[[('margin', 'financial_performance', 'neutral', 0.8147658705711365)]]"
2019-09-26,"In metropolitan cities, however, it will continue to stay away till the government programme raises the rates for surgery and treatment",neutral,0.9005475,[[]]
2019-09-27,It makes sense to have a look at the corporate agendas for the days as announced to the stock exchanges. ,neutral,0.94809276,[[]]
2019-09-28,Apollo has set up 40 cardiac command centres at its hospitals and any doctor across the country can gain access to the knowledge and experience of 300 cardiologists in the group's ecosystem,neutral,0.71088064,[[]]
2019-10-07,Apollo Hospitals is a 'Buy' call with a target price of Rs 1466 and a stop loss of Rs 1396.,neutral,0.92691493,"[[('Apollo Hospitals', 'companies', 'neutral', 0.915552020072937)]]"
2019-10-12,"Bharti is a buy, you can have a nearby stop loss and initiate a long for a target of Rs 400+. ",neutral,0.9138122,[[]]
