,date,title,feed_type,link,news,Predicted Sentiment,Sentiment Probability
0,2017-12-18,Reliance Jio in talks with multiple developers for content,news-article,http://www.livemint.com/Companies/ODzf9j87HXWDO0iBdYbscN/Reliance-Jio-in-talks-with-multiple-developers-for-content.html,"So far, Reliance Industries has Hotstar and Roy Kapur Films on board for content on Reliance Jio, and bought 24.9% stake in Alt Balaji for Rs413 crore",neutral,0.82878417
1,2017-12-23,India’s m-cap crosses Rs 150 lakh crore for first time | India’s m-cap crosses Rs 150 lakh crore for first time,news-article | news-article,https://economictimes.indiatimes.com/markets/stocks/news/indias-m-cap-crosses-rs-150-lakh-crore-for-first-time/articleshow/62217736.cms | https://economictimes.indiatimes.com/wealth/personal-finance-news/indias-m-cap-crosses-rs-150-lakh-crore-for-first-time/articleshow/62218353.cms,The rally in the countrys most valuable company Reliance Industries added Rs 2.2 lakh crore to the market capitalisation so far this year. | The rally in the countrys most valuable company Reliance Industries added Rs 2.2 lakh crore to the market capitalisation so far this year.,positive,0.9147895
2,2017-12-24,"Reliance Industries To Be Among Top 20 Global Firms, Says Mukesh Ambani | Full Text: Mukesh Ambani pays tribute to his father Dhirubhai Ambani",news-article | news-article,https://www.bloombergquint.com/business/2017/12/24/reliance-industries-to-be-among-top-20-global-firms-says-mukesh-ambani | http://www.moneycontrol.com/news/business/full-text-mukesh-ambani-pays-tribute-to-his-father-dhirubhai-ambani-2467961.html,Mukesh Ambani sets out five aims for Reliance Industries. | Reliance Industries Limited is celebrating 40 years of its inception at a grand gala in Navi Mumbai.,neutral,0.82601297
3,2017-12-25,Reliance Industries plans to be among top 20 global firms,news-article,http://www.business-standard.com/article/companies/reliance-industries-plans-to-be-among-top-20-global-firms-117122500018_1.html,Mukesh Ambani set five aims for the company and said he expected the young generation of RIL to make these a reality,neutral,0.7606008
4,2018-01-02,"All you wanted to know about MPS rule | China’s Ma Huateng, India’s Mukesh Ambani global top two in fastest wealth creation",news-article | news-article,http://www.thehindubusinessline.com/opinion/columns/all-you-wanted-to-know-about-mps-rule/article10007585.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication | https://economictimes.indiatimes.com/markets/stocks/news/chinas-ma-huateng-indias-mukesh-ambani-global-top-two-in-fastest-wealth-creation/articleshow/62332108.cms,"The latest deal between the estranged Ambani brothers, where Reliance Industries will buy out telecom assets of RCom, may have made you feel that promoters call all the shots at listed companies. | Tencent boss nearly doubled his riches, while Reliance Industries chiefs wealth grew 77%.",positive,0.5489078
5,2018-01-03,Reliance Industries completes $16 billion expansion plan,news-article,http://www.livemint.com/Industry/RPXW920S8N2UlP5CPecR0N/RIL-commissions-worlds-largest-ROGC-complex-at-Jamnagar.html,RIL chairman Mukesh Ambani says the world’s first ROGC and downstream plants marks a paradigm shift in the profitability and sustainability of RIL’s petrochemicals business,positive,0.93537533
6,2018-01-04,"Reliance Industries likely to see big cash flow boost, says CLSA report",news-article,http://www.livemint.com/Companies/oNnsadbAePvm9k3ez4TweM/Reliance-Industries-likely-to-see-big-cash-flow-boost-says.html,"Reliance Industries is likely to see a big cash-flow boost as projects of over $40 billion start to deliver in full swing this fiscal while capex falls, says CLSA in a report",positive,0.943276
7,2018-01-06,Reliance Industries stock evokes mixed calls from analysts,news-article,http://www.thehindubusinessline.com/markets/stock-markets/reliance-industries-stock-evokes-mixed-calls-from-analysts/article10017203.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,"While CLSA and Edelweiss say ‘buy’, Jefferies downgrades scrip to ‘underperform’",negative,0.9229383
8,2018-01-15,"Capital expenditure done, Reliance Industries now eyes debt reduction",news-article,http://www.business-standard.com/article/companies/capital-expenditure-done-reliance-industries-now-eyes-debt-reduction-plan-118011400782_1.html,Firm's consolidated debt was Rs 2.17 trillion as of March 2017,neutral,0.94365066
9,2018-01-16,Reliance Industries declares 30% higher refinery capacity at Jamnagar plant | This foreign brokerage has ‘sell’ rating on Reliance Industries. Here’s its take,news-article | news-article,http://www.livemint.com/Companies/ebUuj0eVdbLhWCt424MOTO/Reliance-Industries-declares-30-higher-refinery-capacity-at.html | https://economictimes.indiatimes.com/markets/stocks/news/this-foreign-brokerage-has-sell-rating-on-reliance-industries-heres-its-take/articleshow/62518743.cms,Reliance Industries has declared a 30% increase in the installed capacity of its export-focused oil refinery in the special economic zone in Gujarat’s Jamnagar | The scrip was trading 1.02 per cent down at Rs 937.95 at around 10 am (IST) on Tuesday.,negative,0.96785945
